V4央视,#genre#
CCTV-1 综合,http://mtw.so/6w27E2#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2 财经,http://mtw.so/5xSr0R#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv2.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-3 综艺,http://mtw.so/5FoE5y#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv3.m3u8
CCTV-4 中文国际,http://mtw.so/5G9gkT#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv4.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5 体育,http://mtw.so/5NFtpA#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv5.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+ 体育赛事,http://mtw.so/5VbDSZ#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv5p.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-6 电影,http://mtw.so/62HqWM#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv6.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8#http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8#http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8
CCTV-7 国防军事,hhttp://mtw.so/6adE1t#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv7.m3u8
CCTV-8 电视剧,http://mtw.so/6hJR6a#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv8.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://111.20.40.172/PLTV/88888893/224/3221226391/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-9 纪录,http://mtw.so/6pbS1P#http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv9.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
